"","age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neuroticism","agreeableness","conscientiousness","openness"
"1",53,"Male","US",4,5,5,1,2,1,5,5,5,4,5,4,3,4,5,0.93,0.27,1,0.87,0.8
"2",46,"Female","US",2,3,3,2,4,4,3,4,3,4,3,4,3,3,2,0.53,0.67,0.67,0.73,0.53
"3",14,"Female","PK",5,1,5,5,5,5,1,5,5,4,5,5,5,5,5,0.73,1,0.73,0.93,1
"4",19,"Female","RO",2,2,3,5,4,5,5,4,3,3,4,2,5,5,5,0.47,0.93,0.8,0.6,1
"5",25,"Female","US",3,3,3,3,3,3,5,5,5,3,5,3,1,3,3,0.6,0.6,1,0.73,0.47
"6",31,"Female","US",1,2,1,1,4,4,2,4,3,2,4,5,1,5,3,0.27,0.6,0.6,0.73,0.6
"7",20,"Female","US",5,5,5,2,2,2,5,5,5,2,3,3,5,4,4,1,0.4,1,0.53,0.87
"8",23,"Male","IN",4,5,5,1,4,1,5,4,5,4,5,3,5,5,5,0.93,0.4,0.93,0.8,1
"9",39,"Female","US",3,5,5,2,5,5,5,5,4,4,5,4,5,5,5,0.87,0.8,0.93,0.87,1
"10",18,"Female","US",1,2,2,5,5,4,3,4,2,5,4,4,5,4,4,0.33,0.93,0.6,0.87,0.87
"11",17,"Female","IT",1,2,1,5,5,5,4,4,3,3,3,3,5,3,5,0.27,1,0.73,0.6,0.87
"12",15,"Male","IN",3,5,3,1,3,3,4,2,4,3,4,3,4,4,5,0.73,0.47,0.67,0.67,0.87
"13",22,"Female","US",3,4,4,3,3,2,4,5,4,4,4,5,4,3,4,0.73,0.53,0.87,0.87,0.73
"14",21,"Female","US",1,2,1,5,5,5,1,4,2,5,5,4,3,4,4,0.27,1,0.47,0.93,0.73
"15",28,"Female","US",3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,0.6,0.67,0.8,0.8,0.8
"16",21,"Male","US",2,2,3,2,2,2,2,2,2,4,4,4,5,4,5,0.47,0.4,0.4,0.8,0.93
"17",19,"Female","FR",1,2,2,4,3,3,2,1,1,4,5,3,4,5,4,0.33,0.67,0.27,0.8,0.87
"18",21,"Female","US",4,5,5,5,5,3,5,5,3,3,3,4,3,5,3,0.93,0.87,0.87,0.67,0.73
"19",26,"Female","GB",2,4,1,4,5,4,2,2,3,4,5,5,4,5,2,0.47,0.87,0.47,0.93,0.73
"20",26,"Female","US",2,3,3,4,3,2,3,4,4,1,5,2,5,5,4,0.53,0.6,0.73,0.53,0.93
"21",19,"Female","LT",1,2,3,4,4,4,5,5,3,2,4,1,5,4,4,0.4,0.8,0.87,0.47,0.87
"22",29,"Female","US",2,4,4,1,2,1,4,3,3,4,5,3,4,5,4,0.67,0.27,0.67,0.8,0.87
"23",29,"Female","US",2,1,2,3,5,3,4,4,3,4,4,4,5,3,3,0.33,0.73,0.73,0.8,0.73
"24",21,"Male","CA",3,4,4,3,3,2,4,4,3,3,5,4,4,5,3,0.73,0.53,0.73,0.8,0.8
